"gene","gse182_supported_donor_n","gse199_supported_donor_n","total_supported_donor_n","gse182_low_detected_donor_n","gse199_low_detected_donor_n","gse182_median_CPM","gse199_median_CPM","gse182_median_fraction","gse199_median_fraction","gse182_median_rank","gse199_median_rank","between_donor_log2cpm_sd","donor_variable_flag","baseline_classification","uc_median_rank","non_uc_median_rank","uc_minus_non_uc_rank","source_context_flag","robustness_rule","source_context_interpretation","source_url"
"SIGLEC12",0,0,0,0,0,0.00164152149567638,0,3.92464678178964e-05,0,0.099537037037037,0.199505358615004,0.00193047220564663,"NO","NOT_RELIABLY_EXPRESSED",0.099537037037037,0.138047138047138,-0.038510101010101,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SIGLEC14",0,0,0,0,0,0.00194534584313656,0,5.07047966737653e-05,0,0.100589225589226,0.199505358615004,0.00228708467680247,"NO","NOT_RELIABLY_EXPRESSED",0.100589225589226,0.0500841750841751,0.0505050505050505,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SIGLEC15",0,0,0,0,4,0.16165817986029,1.58333796536553,0.0038985740091829,0.0242501747699322,0.495580808080808,0.678689200329761,0.631699406822955,"NO","NOT_RELIABLY_EXPRESSED",0.495580808080808,0.719276094276094,-0.223695286195286,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SIGLEC5",0,0,0,0,0,0,0,0,0,0.0536616161616162,0.199505358615004,0,"NO","NOT_RELIABLY_EXPRESSED",0.0536616161616162,0.113636363636364,-0.0599747474747475,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SIGLEC6",0,0,0,0,0,0.0159889908509282,0,0.000399051525784543,0,0.317550505050505,0.211871393239901,0.0139506380839559,"NO","NOT_RELIABLY_EXPRESSED",0.317550505050505,0.131734006734007,0.185816498316498,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SIGLEC7",0,0,0,0,0,0.042189959854084,0,0.000940474479089804,0,0.350589225589226,0.199505358615004,0.0435281387531214,"NO","NOT_RELIABLY_EXPRESSED",0.350589225589226,0.181818181818182,0.168771043771044,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SIGLEC8",0,0,0,0,0,0.00717373467762589,0,0.000179902528983323,0,0.216329966329966,0.199505358615004,0.00535362831784548,"NO","NOT_RELIABLY_EXPRESSED",0.216329966329966,0.134259259259259,0.082070707070707,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SIGLEC9",0,0,0,0,0,0.0544106587771145,0,0.00137218562508666,0,0.457070707070707,0.199505358615004,0.0407117895680175,"NO","NOT_RELIABLY_EXPRESSED",0.457070707070707,0.222222222222222,0.234848484848485,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SIRPA",2,4,6,2,4,6.4988897948405,16.8869960630452,0.14682948557954,0.23537543106577,0.778198653198653,0.815746084089035,0.651188882956661,"NO","ROBUST_BASELINE_SENDER",0.778198653198653,0.758838383838384,0.0193602693602692,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SIRPB2",0,0,0,0,0,0.00717373467762589,0.0295755386115093,0.000179902528983323,0.000508712961711231,0.216329966329966,0.401277823577906,0.0245473551870271,"NO","NOT_RELIABLY_EXPRESSED",0.216329966329966,0.236952861952862,-0.0206228956228956,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
